founder_uuid,success
ef9c8004-4689-436f-a457-6593bc03d0c2,1
960603db-f07c-4bab-af93-acc0602183be,1
7a520e00-d861-4ffa-99b3-8bd535016c3d,1
36a83cfe-f594-459b-ab73-293b52fdbcab,1
d605f360-37dc-4b1a-9d51-d4dfc70fc30f,1
565998ae-a419-4992-9a9d-9e772060102d,1
2aca3c98-7155-430e-8515-1f96f3d32779,1
ca2947ea-cfae-43d2-b44b-d7f526219e0b,1
5d840ddc-1f52-4cd4-b2f9-dd80691bb697,1
7e10f7e9-68c0-4b99-b4b2-ed795590a51a,1
214f7109-4367-4d6e-bf98-db8549e9b343,1
e8d9aec5-3b7f-4185-bc64-391a82869ed8,1
b7ebe404-2f2a-4b95-8c16-fc5db7465ba1,1
a611d17e-7b0e-472c-b28d-0137a0cdb11d,1
d9e3d9c8-dc84-4109-a4d4-1f3316c91ab1,1
408d2d0c-b4af-4e3a-9500-72fde350544c,1
ee0deccb-910a-495d-aef7-6373d5b12c06,1
9e87dc55-756b-4e2a-a89a-911d4067302c,1
de879da2-9c31-41aa-998d-ddd7445a29bc,1
81594941-eb84-40ec-83bd-6fa1a8e173fc,1
a5041dc9-83a7-4f9f-a136-0774080899ec,1
aad879a8-ec03-4101-909c-333f51b53660,1
d96f7eb7-6cdd-4496-8132-4c0fd1f995e0,1
0acceecc-d72e-42c7-a732-4ddc539d637e,1
5e1709bf-5d4e-47b9-b1dc-83cb32901efb,1
b2c64213-d237-471e-8caa-fce049ce4091,1
f3b03e18-c10b-460d-99e0-f0ce5501a6f3,1
45e682d1-26a9-414a-ba5d-8f87ebcbdb5b,1
1db887fa-3958-4c37-bf4f-d5785eb5477a,1
acdf2bda-5a8e-4edc-8f82-afd558b7f391,1
bcd2a76b-99d9-43e4-812f-24e72aeb3d2c,1
5dd3af1a-342a-48a1-a2ab-5800551b37c7,1
defa4123-e5c8-4724-97a1-7e30ad854ca9,1
6356cd9b-abd9-42c8-96a5-ef6842903c13,1
492ee239-f6d4-4ffc-a2f3-87f0cac722b0,1
54e1292f-3c73-41ef-b781-4b46349a822c,1
163ee6d7-0507-4947-9683-5fedf3997f80,1
d9684f2b-f48e-4cd3-b48e-38f2b605f54e,1
d21b8c6f-8ab1-444e-bd9b-77a00e0392a7,1
e6ea1230-72e4-4b80-b471-d2461e7d0261,1
ba83a160-7e3f-4e33-8733-0f63e60f2976,1
3ca24262-2035-44ab-8c84-bbe8696fbcaa,1
265fdf1e-fd3e-419d-9e82-7ef0518b5adf,1
9e4d92c5-f24a-45bc-9537-63f0b5e161c4,1
515435dc-75a8-4fbf-abd2-bb27114dc840,1
3483fd8b-3c6e-4a6c-8791-0ad0f7979493,1
f46be33b-cbab-4e08-8569-ace357a22404,1
9f34ce74-d87b-409a-859b-4f3849a1acee,1
394a336a-fbb7-400b-ad79-e57a468ffe81,1
48764cdf-a598-45ed-b4d6-76c58dd5cf76,1
4eb1380a-b08f-4fa8-aba2-55a6e19b6f8d,1
ae27b3b4-92c9-43da-9f2c-3f1b36de4e7d,1
a7358fcf-bf61-4ac4-9753-bc77bfda82d1,1
4b66aac4-549c-4b7e-8fe0-5f5a6c71d11f,1
bff14926-489f-45eb-bd15-2a31f17dc529,1
2c1f9998-72f7-410f-9c49-f7a1e642a1e1,1
c3d14bde-11ab-424a-b888-560b02d26c0b,1
297cd90c-cbc2-42db-8ebc-a987d498dca4,1
c1cab620-5af4-4f9b-a43b-3015fb7a25cb,1
9140e6cf-926d-48bd-89b1-994d252d650b,1
3a8e62b4-c8b4-4ea9-86e7-6a8b1d96083c,1
8ea8ac93-c63d-465f-bbe3-c43c51cfd82f,1
3287b160-ff0f-47e4-8ae7-ef8f365e0976,1
02719e76-894b-40c7-aba6-6ecdd91b68c9,1
70549ba0-d28a-41e7-a538-837a495d67ed,1
5f5a9f6a-e6bd-4445-b29c-db4d522f4223,1
2012bc90-e334-464b-a279-7d9bd7ce36df,1
5d383cba-075d-4da2-b4c8-25f117cefbe3,1
733f17ff-b425-4caf-9eec-1132130d18b3,1
a2eb628e-0e89-46d4-af4d-2d6b2400331a,1
db9e6bd8-1449-4ee6-bb69-210f9fbb88c1,1
e13288ad-2f6e-4ffc-9caa-f6f9f54d046c,1
b9bd6fb8-2d0f-47a1-b72d-81ea758c9e80,1
b177b161-f4c2-4f96-90a6-56f48007672e,1
d003b107-b0a0-4308-9c7e-a4b047c3c4c8,1
0cfe97c8-5d13-4f32-82d4-00a8454c2976,1
b03fd757-54d2-48b9-b48c-b743461d611b,1
3c01797c-bd0c-4cdd-ae8c-85f0c89b1352,1
ac8004d3-656b-4e40-925e-801be97c8535,1
e9c720b6-b8d9-4aa3-8bb3-ee06f717ff78,1
50cb659c-06c8-40c5-a535-5be7832b98d2,1
bb17827a-9ad9-4197-8c60-e315dff92261,1
ece4a7ae-1d2f-4941-a258-8c1a5a9fa0ba,1
3441aed4-c8dd-4289-994b-d076385452c9,1
e624ca7f-8e98-46ba-9f5b-b99fb562de39,1
cfddaff4-0ce4-49a7-9088-ff06b2c62e03,1
7cf58713-08e7-4707-b0bd-50c688db768f,1
df0aafcb-adc3-4715-983d-ff3af99359e9,1
27f0fd8e-1e1b-48fd-b90e-05573e9b2eac,1
2626771b-ee63-4ac5-ad35-abb471430349,1
dfbf1276-f43f-452f-aff6-72637eb7dbb3,1
223cd1cf-5647-4671-81e9-9e055590015c,1
1716f691-9add-40ce-8621-c22d20ee9402,1
5545efd7-62f4-46d4-84a9-f018c4e99678,1
7bb5dac5-5ae8-43d5-b736-88ad2b28632b,1
4fe1fcb2-1743-4c58-83da-d0cf76b95171,1
f4e6fbad-9659-42a0-bb54-7d2d7efffbda,1
78ef3f85-c0bc-470c-8f4d-88d248f1ba07,1
73319d52-549b-47d9-a1cb-220012ac8183,1
34f6f3dd-c9e4-4159-ac5b-c1ebae356ce8,1
990b605d-cdc5-4ec8-b62f-11a3d51f2b97,1
65ebe6a5-9128-4633-94a8-4f2a6e0e211d,1
a8835a3d-feb7-4daa-9310-e80e1923a410,1
505bf32b-5b85-4b2c-9b8d-d482d253e918,1
99dfc169-a119-477c-9260-2657e2a04c48,1
9922a7d4-44ab-41eb-b789-695e2c3508a9,1
5adceee5-70f6-4aa2-bd11-5f8a22b3f932,1
4d458d95-c8ef-4fe7-aa9f-bb1ca942687f,1
46402b21-0e2a-4a68-b1a9-ec809d7fb5dd,1
5cf57435-9a7a-4002-b8fe-624a1911b469,1
2bbbddf6-ef2d-4e86-be4d-a24c071a392e,1
c406554b-54fa-4677-a098-80afa9c04452,1
153ad4ac-a0ad-46a5-8bf1-f13fb9fe43a3,1
b9c26a11-b807-4807-be44-018953ad3fe7,1
c5f6d248-3603-4cbe-8cb5-6a0f146d6cfe,1
bf957d73-555e-4953-8a57-f23fdcd61ea7,1
b8c1c60b-5241-4014-ae3a-0d3045a4e725,1
347c8a54-9d1a-417e-b6b8-16e83be6a1b4,1
d62e49f8-1cc7-477f-b430-ad85064e56c1,1
d0d9f82c-c5e5-4b49-9193-f9e14e09dc5c,1
d0f8e028-911a-4f2e-8c36-d9bde50183aa,1
bd290853-a801-46e1-b3aa-c6aea533c055,1
8fd1adec-bcef-449e-bde1-3c630fa6a2e0,1
fe4ed9c0-a9f6-4a60-b9ff-e911a199ac72,1
3ffb1534-fb8d-42f2-9a94-dd9cf591de0c,1
